node,Betweenness Centrality
17884,6.111061143877297e-05
20685,5.1993302474117315e-05
20684,3.564785667261756e-05
18652,3.552464979471681e-05
17900,3.3498581135904444e-05
16480,3.291677087915089e-05
20693,3.2690891602999514e-05
18521,2.858399567297445e-05
17897,2.8556616366774283e-05
18864,2.6941237300964423e-05
17977,2.488778933595189e-05
18861,2.3861065353445624e-05
16465,2.2485255216887228e-05
18900,2.180761738843309e-05
20833,2.156120363263159e-05
16462,2.094516924312783e-05
17889,2.090410028382758e-05
18727,2.0698755487326324e-05
18201,2.028806589432382e-05
20772,1.9220272952517304e-05
21212,1.790606625490928e-05
20683,1.786499729560903e-05
20733,1.765965249910778e-05
18056,1.7495376661906774e-05
18051,1.5770480371296248e-05
17885,1.4866963266690735e-05
17887,1.4702687429489731e-05
20729,1.4456273673688227e-05
16544,1.4127721999286223e-05
21322,1.3552756569082714e-05
16917,1.3511687609782462e-05
20734,1.3224204894680708e-05
20864,1.2936722179578953e-05
16472,1.2895653220278703e-05
18948,1.2608170505176948e-05
17880,1.2484963627276197e-05
18490,1.238229122902557e-05
16951,1.2156411952874191e-05
19718,1.207427403427369e-05
18102,1.203320507497344e-05
20838,1.1827860278472186e-05
20732,1.1581446522670682e-05
18144,1.1389791379269515e-05
20699,1.1293963807568928e-05
20883,1.1170756929668175e-05
18226,1.1088619011067674e-05
18325,1.0972256959716965e-05
17995,1.0944877653516798e-05
21135,1.076006733666567e-05
18185,1.0677929418065169e-05
18434,1.0636860458764917e-05
20690,1.0513653580864165e-05
18019,1.0390446702963414e-05
16824,1.0349377743663162e-05
18039,1.0308308784362912e-05
17597,9.856550232060156e-06
19778,9.856550232060156e-06
17954,9.733343354159403e-06
17007,9.610136476258652e-06
16542,9.486929598357899e-06
16906,9.486929598357899e-06
21121,9.445860639057649e-06
21266,9.363722720457148e-06
20738,9.117308964655644e-06
16561,8.994102086754891e-06
18703,8.87089520885414e-06
18728,8.87089520885414e-06
17992,8.747688330953387e-06
17174,8.706619371653137e-06
16852,8.583412493752386e-06
20759,8.542343534452134e-06
18323,8.213791860050129e-06
20719,8.213791860050129e-06
16454,8.152188421099753e-06
18452,8.131653941449628e-06
21285,8.008447063548875e-06
16522,7.967378104248625e-06
18259,7.960533277698583e-06
17882,7.844171226347874e-06
20706,7.803102267047623e-06
20911,7.762033307747373e-06
16479,7.556688511246119e-06
18860,7.556688511246119e-06
17116,7.515619551945868e-06
16832,7.310274755444615e-06
18178,7.269205796144364e-06
16497,6.98172308104261e-06
20708,6.899585162442108e-06
20899,6.899585162442108e-06
20836,6.653171406640605e-06
16843,6.571033488040103e-06
16894,6.571033488040103e-06
20837,6.571033488040103e-06
18026,6.529964528739853e-06
19697,6.406757650839101e-06
17971,6.399912824289058e-06
16515,6.36568869153885e-06
16572,6.36568869153885e-06
18029,6.36568869153885e-06
20953,6.242481813638099e-06
